Ensembl_Gene_ID,Gene_name
ENSG00000032742,IFT88
ENSG00000114446,IFT57
ENSG00000198211,TUBB3
ENSG00000204104,TRAF3IP1
ENSG00000196659,TTC30B
ENSG00000197557,TTC30A
ENSG00000138002,IFT172
ENSG00000118096,IFT46
ENSG00000122970,IFT81
ENSG00000113966,ARL6
ENSG00000078674,PCM1
ENSG00000090273,NUDC
ENSG00000169379,ARL13B
ENSG00000007174,DNAH9
ENSG00000139537,CCDC65
ENSG00000154099,DNAAF1
ENSG00000166596,WDR16
ENSG00000168589,DYNLRB2
ENSG00000171595,DNAI2
ENSG00000213085,CCDC19
ENSG00000123810,B9D2
ENSG00000138036,DYNC2LI1
ENSG00000147400,CETN2
ENSG00000164953,TMEM67
ENSG00000118965,WDR35
ENSG00000131437,KIF3A
ENSG00000143156,NME7
ENSG00000163913,IFT122
ENSG00000187240,DYNC2H1
ENSG00000048342,CC2D2A
ENSG00000100360,IFT27
ENSG00000103351,CLUAP1
ENSG00000105948,TTC26
ENSG00000157796,WDR19
ENSG00000188229,TUBB4B
ENSG00000089091,DZANK1
ENSG00000066185,ZMYND12
ENSG00000089101,C20orf26
ENSG00000112530,PACRG
ENSG00000122735,DNAI1
ENSG00000129295,LRRC6
ENSG00000158023,WDR66
ENSG00000158423,RIBC1
ENSG00000183833,MAATS1
ENSG00000183207,RUVBL2
ENSG00000079974,RABL2B
ENSG00000111837,MAK
ENSG00000144134,RABL2A
ENSG00000066629,EML1
ENSG00000086061,DNAJA1
ENSG00000128408,RIBC2
ENSG00000140057,AK7
ENSG00000151023,ENKUR
ENSG00000160188,RSPH1
ENSG00000165923,AGBL2
ENSG00000096872,IFT74
ENSG00000088986,DYNLL1
ENSG00000157856,CCDC164
ENSG00000167216,KATNAL2
ENSG00000171962,LRRC48
ENSG00000188010,MORN2
ENSG00000167552,TUBA1A
ENSG00000150628,SPATA4
ENSG00000123607,TTC21B
ENSG00000165533,TTC8
ENSG00000156313,RPGR
ENSG00000163818,LZTFL1
ENSG00000128581,RABL5
ENSG00000149201,CCDC81
ENSG00000151575,TEX9
ENSG00000165309,ARMC3
ENSG00000188931,C1orf192
ENSG00000157423,HYDIN
ENSG00000021300,PLEKHB1
